Township,Date,Air Temp. Min. (°C),Air Temp. Max. (°C),Precip. (mm),Precip. Accumulated (mm),Relative Humidity Avg. (%),Modelled Snow Water Equiv. (mm),Incoming Solar Rad. Total (MJ/m2),Modelled Incoming Rad. Total (MJ/m2),Wind Speed 10 m Avg. (km/h)
T009R21W4,4/27/2017,1.6,8.74,3.53,63.75,86.35,0,11.78,14.86,10.53
T009R21W4,4/28/2017,0.93,10.38,0.75,64.5,78.1,0,14.57,17.22,9.18
T009R21W4,4/29/2017,-1.16,15.06,0,64.5,61.9,0,25.24,22.7,17.04
T009R21W4,4/30/2017,6.61,16.63,0.25,64.75,48.69,0,24.74,17.96,24.73
T009R21W4,5/1/2017,4.3,15.03,0,64.75,46.64,0,24.83,18.71,13.93
T009R21W4,5/2/2017,2.36,13.01,1.69,66.44,60.27,0,19.13,18.76,14.15
T009R21W4,5/3/2017,1.25,21.37,0.72,67.16,51.7,0,26.75,25.94,24.19
T009R21W4,5/4/2017,9.51,27.35,0,67.16,43.24,0,28.29,24.58,19.05
T009R21W4,5/5/2017,6.05,28.96,0,67.16,49.62,0,21.31,28.02,15.81
T009R21W4,5/6/2017,10.85,25.26,7.01,74.17,54.93,0,20.42,22.35,16.18
T009R21W4,5/7/2017,4.21,12.73,1.69,75.86,80.73,0,6.48,17.28,16.62
T009R21W4,5/8/2017,-0.19,18.38,0.48,76.34,56.85,0,28.95,25.66,14.14
T009R21W4,5/9/2017,4.39,19.53,0.25,76.59,48.41,0,22.89,23.29,10.79
T009R21W4,5/10/2017,2.03,24.71,0.24,76.83,49.78,0,27.76,28.66,8.65
T009R21W4,5/11/2017,5.58,27.65,0,76.83,46.29,0,26.09,28.42,12.43
T009R21W4,5/12/2017,7.63,22.92,11.11,87.94,63.62,0,13.36,23.78,16.38
T009R21W4,5/13/2017,5.97,16.94,0.96,88.9,42.95,0,29.05,20.23,28.07
T009R21W4,5/14/2017,3.98,15.28,0,88.9,50.15,0,30.23,20.64,25.48
T009R21W4,5/15/2017,0.95,17.27,0.25,89.15,41.67,0,30.96,24.92,16.99
T009R21W4,5/16/2017,2.82,15.56,0.72,89.87,56.78,0,14.77,22.11,10.96
T009R21W4,5/17/2017,4.38,8.15,14,103.87,90.42,0,4.77,12.07,21.16
T009R21W4,5/18/2017,3.13,17.68,0.24,104.11,72.7,0,23.4,23.83,14.19
T009R21W4,5/19/2017,4.62,20.22,0.25,104.36,58.01,0,26.98,24.77,10.38
T009R21W4,5/20/2017,5.61,20.61,0,104.36,52.88,0,27.79,24.39,11.4
T009R21W4,5/21/2017,5.65,24.46,0,104.36,45.41,0,30.9,27.42,15.05
T009R21W4,5/22/2017,8.79,24.47,0,104.36,44.17,0,27.99,25.12,9.42
T009R21W4,5/23/2017,8.9,28.9,0.24,104.6,36.75,0,26.1,28.47,21.21
T009R21W4,5/24/2017,5.46,19.16,9.66,114.26,48.96,0,18.88,23.65,41.39
T009R21W4,5/25/2017,7.92,15.96,0.48,114.74,63.08,0,25.94,18.19,33.67
T009R21W4,5/26/2017,3.28,20.88,0.24,114.98,54.04,0,28.67,26.98,13.34
T009R21W4,5/27/2017,9.01,26.8,0.25,115.23,44.62,0,27.45,27.21,15.13
T009R21W4,5/28/2017,10.62,23.64,0.24,115.47,51.75,0,29.27,23.35,10.9
T009R21W4,5/29/2017,4.98,25.8,0,115.47,49.13,0,31.19,29.61,10.33
T009R21W4,5/30/2017,7.3,28.27,0,115.47,47.38,0,29.22,29.79,10.31
T009R21W4,5/31/2017,10.33,31.52,0,115.47,43.69,0,27.98,30.02,11.81
T009R21W4,6/1/2017,13.63,24.56,0,115.47,50.66,0,26.52,21.62,24.32
T009R21W4,6/2/2017,12.58,22.94,0,115.47,39.04,0,32.31,21.1,38.01
T009R21W4,6/3/2017,6.44,28.58,0,115.47,39.15,0,32.66,30.9,13.86
T009R21W4,6/4/2017,10.14,26.85,8.12,123.59,54.94,0,28.65,26.9,16.13
T009R21W4,6/5/2017,10.12,18.76,8.88,132.47,79.56,0,17.99,19.38,13.14
T009R21W4,6/6/2017,7.42,22.99,0,132.47,61.78,0,30.57,26.06,14.78
T009R21W4,6/7/2017,7.86,27.76,0.25,132.72,60.01,0,30.55,29.52,8.81
T009R21W4,6/8/2017,12.97,28.89,17.76,150.48,63.41,0,23.36,26.44,14.69
T009R21W4,6/9/2017,11.34,19.6,0.26,150.74,49.77,0,33.06,19.07,31.6
T009R21W4,6/10/2017,8.42,19.5,0,150.74,51.08,0,27.07,22.12,28.57
T009R21W4,6/11/2017,7.89,21.54,2.28,153.02,57.48,0,31.64,24.58,18.4
T009R21W4,6/12/2017,4.95,26.03,0,153.02,55.2,0,32.6,30.57,10.37
T009R21W4,6/13/2017,10.45,15.74,22.59,175.61,87.76,0,5.9,15.34,12.17
T009R21W4,6/14/2017,10.84,19.1,4.57,180.18,71.1,0,19.95,19.17,22.78
T009R21W4,6/15/2017,10.71,19.99,0,180.18,50.73,0,26.47,20.34,23.47
T009R21W4,6/16/2017,12.03,22.42,0.26,180.44,51.93,0,30.12,21.53,30.61
T009R21W4,6/17/2017,10.34,20.88,1.27,181.71,59.27,0,24.1,21.7,15.04
T009R21W4,6/18/2017,10.89,22.27,0,181.71,47.4,0,26.77,22.55,20.8
T009R21W4,6/19/2017,9.41,22.36,0.21,181.92,58.9,0,26.98,24.06,11.68
T009R21W4,6/20/2017,13.59,28.67,0.04,181.96,51.76,0,31.55,25.96,21.83
T009R21W4,6/21/2017,9.03,22.38,0.25,182.21,60.14,0,26.79,24.43,12.36
T009R21W4,6/22/2017,5.5,17.46,0,182.21,62.91,0,23.32,23.11,17.2
T009R21W4,6/23/2017,9.08,20.78,0.26,182.47,55.84,0,26.86,22.87,10.35
T009R21W4,6/24/2017,8.33,22.13,0,182.47,59.96,0,28.4,24.81,8
T009R21W4,6/25/2017,7.55,27.68,0,182.47,59.53,0,31.76,29.96,11
T009R21W4,6/26/2017,12.67,32.45,0,182.47,45.96,0,24.28,29.67,15.24
T009R21W4,6/27/2017,13.83,24.67,0,182.47,51.7,0,27,21.94,17.02
T009R21W4,6/28/2017,8.13,24.95,0.25,182.72,58.65,0,30.84,27.32,15.45
T009R21W4,6/29/2017,10.74,22.39,0.26,182.98,63.75,0,26.57,22.71,12.41
T009R21W4,6/30/2017,8.76,28.82,0.25,183.23,55.26,0,32.07,29.77,9.62
T009R21W4,7/1/2017,10.92,31.04,0,183.23,60.3,0,29.95,29.78,9.93
T009R21W4,7/2/2017,11.81,31,0.28,183.51,59.76,0,31.69,29.04,9.37
T009R21W4,7/3/2017,11.93,31.73,0,183.51,42.43,0,32.46,29.46,21.96
T009R21W4,7/4/2017,12.2,31.02,0,183.51,56.17,0,29.92,28.67,11.71
T009R21W4,7/5/2017,12.32,28.87,0,183.51,46.8,0,32.11,26.84,12.18
T009R21W4,7/6/2017,10.7,32.16,0,183.51,54.81,0,31.58,30.5,6.98
T009R21W4,7/7/2017,11.49,36.3,0,183.51,51.3,0,31,32.73,8.87
T009R21W4,7/8/2017,17.41,32.16,0,183.51,49.15,0,23.92,25.19,14.11
T009R21W4,7/9/2017,13.84,34.36,0,183.51,54.75,0,31.36,29.64,9.33
T009R21W4,7/10/2017,14.92,27.07,1.13,184.64,61.64,0,23.13,22.76,14.92
T009R21W4,7/11/2017,11.29,20.73,0.28,184.92,79.06,0,19.26,20,12.93
T009R21W4,7/12/2017,8.61,28.51,0.29,185.21,65.27,0,29.34,28.97,10.38
T009R21W4,7/13/2017,12.27,33.9,0.28,185.49,42.44,0,31.55,30.12,14.61
T009R21W4,7/14/2017,14.39,29.04,0,185.49,51.61,0,31.22,24.72,13.61
T009R21W4,7/15/2017,12.3,31.83,1.41,186.9,59.59,0,22.73,28.45,11.7
T009R21W4,7/16/2017,9.28,28.53,0,186.9,42.48,0,31.83,28.16,25.82
T009R21W4,7/17/2017,7.48,23.9,0.29,187.19,54.3,0,28.24,25.93,10.93
T009R21W4,7/18/2017,6.3,28.6,0,187.19,55.45,0,30.08,30.11,8.61
T009R21W4,7/19/2017,8.44,28.91,0,187.19,50.04,0,29.36,28.74,10.8
T009R21W4,7/20/2017,10.37,30.76,0,187.19,40.07,0,25.9,28.59,15.54
T009R21W4,7/21/2017,9.69,26.46,0.28,187.47,46.03,0,27.53,25.82,17.13
T009R21W4,7/22/2017,9.02,31.02,0,187.47,48.44,0,28.49,29.47,12.97
T009R21W4,7/23/2017,12.64,33.5,0,187.47,44.3,0,30.08,28.58,17.61
T009R21W4,7/24/2017,8.22,23.74,0,187.47,54.09,0,30.84,24.55,14.54
