Date,Open,High,Low,Close,Adj Close,Volume
3/9/2017," 15,501.50 "," 15,583.90 "," 15,431.00 "," 15,496.80 "," 15,496.80 "," 234,936,400.00 "
3/10/2017," 15,543.10 "," 15,573.50 "," 15,422.10 "," 15,506.70 "," 15,506.70 "," 225,497,900.00 "
3/13/2017," 15,495.50 "," 15,566.30 "," 15,495.50 "," 15,544.80 "," 15,544.80 "," 233,150,100.00 "
3/14/2017," 15,474.60 "," 15,474.60 "," 15,370.90 "," 15,379.60 "," 15,379.60 "," 229,413,500.00 "
3/15/2017," 15,436.50 "," 15,534.20 "," 15,419.90 "," 15,520.90 "," 15,520.90 "," 259,678,800.00 "
3/16/2017," 15,562.90 "," 15,607.10 "," 15,556.60 "," 15,562.40 "," 15,562.40 "," 203,344,500.00 "
3/17/2017," 15,563.00 "," 15,623.30 "," 15,490.50 "," 15,490.50 "," 15,490.50 "," 498,165,600.00 "
3/20/2017," 15,490.80 "," 15,508.30 "," 15,391.60 "," 15,442.30 "," 15,442.30 "," 188,533,500.00 "
3/21/2017," 15,456.10 "," 15,519.50 "," 15,299.50 "," 15,313.10 "," 15,313.10 "," 214,897,700.00 "
3/22/2017," 15,274.20 "," 15,365.50 "," 15,241.60 "," 15,348.50 "," 15,348.50 "," 224,717,000.00 "
3/23/2017," 15,350.00 "," 15,468.30 "," 15,326.10 "," 15,433.60 "," 15,433.60 "," 191,565,100.00 "
3/24/2017," 15,466.80 "," 15,485.30 "," 15,422.20 "," 15,442.70 "," 15,442.70 "," 167,699,800.00 "
3/27/2017," 15,368.70 "," 15,512.20 "," 15,332.10 "," 15,506.20 "," 15,506.20 "," 188,275,700.00 "
3/28/2017," 15,522.40 "," 15,613.60 "," 15,522.40 "," 15,598.60 "," 15,598.60 "," 232,617,000.00 "
3/29/2017," 15,585.50 "," 15,661.60 "," 15,545.00 "," 15,657.60 "," 15,657.60 "," 184,256,000.00 "
3/30/2017," 15,653.40 "," 15,664.10 "," 15,537.80 "," 15,578.80 "," 15,578.80 "," 184,165,000.00 "
3/31/2017," 15,557.60 "," 15,607.60 "," 15,544.00 "," 15,547.80 "," 15,547.80 "," 226,075,100.00 "
4/3/2017," 15,587.00 "," 15,633.30 "," 15,457.80 "," 15,584.40 "," 15,584.40 "," 208,062,900.00 "
4/4/2017," 15,555.30 "," 15,682.70 "," 15,555.30 "," 15,669.10 "," 15,669.10 "," 180,643,800.00 "
4/5/2017," 15,717.70 "," 15,758.40 "," 15,642.20 "," 15,643.00 "," 15,643.00 "," 227,717,500.00 "
4/6/2017," 15,684.80 "," 15,728.60 "," 15,659.80 "," 15,697.20 "," 15,697.20 "," 180,306,700.00 "
4/7/2017," 15,699.60 "," 15,704.10 "," 15,641.30 "," 15,667.10 "," 15,667.10 "," 214,293,300.00 "
4/10/2017," 15,657.30 "," 15,757.80 "," 15,642.80 "," 15,730.80 "," 15,730.80 "," 164,370,600.00 "
4/11/2017," 15,732.90 "," 15,738.30 "," 15,604.10 "," 15,727.10 "," 15,727.10 "," 221,277,700.00 "
4/12/2017," 15,701.10 "," 15,714.50 "," 15,643.00 "," 15,648.40 "," 15,648.40 "," 208,125,600.00 "
4/13/2017," 15,634.70 "," 15,634.70 "," 15,529.00 "," 15,535.50 "," 15,535.50 "," 179,648,400.00 "
4/17/2017," 15,562.30 "," 15,687.80 "," 15,562.30 "," 15,684.90 "," 15,684.90 "," 160,815,800.00 "
4/18/2017," 15,643.00 "," 15,659.40 "," 15,543.40 "," 15,622.60 "," 15,622.60 "," 206,884,300.00 "
4/19/2017," 15,658.80 "," 15,683.90 "," 15,532.80 "," 15,552.90 "," 15,552.90 "," 222,195,500.00 "
4/20/2017," 15,583.50 "," 15,675.00 "," 15,566.00 "," 15,625.60 "," 15,625.60 "," 198,428,200.00 "
4/21/2017," 15,609.00 "," 15,640.80 "," 15,584.60 "," 15,614.50 "," 15,614.50 "," 177,328,600.00 "
4/24/2017," 15,693.90 "," 15,763.30 "," 15,682.60 "," 15,712.50 "," 15,712.50 "," 202,147,700.00 "
4/25/2017," 15,748.40 "," 15,792.60 "," 15,735.60 "," 15,745.20 "," 15,745.20 "," 251,930,500.00 "
4/26/2017," 15,744.70 "," 15,755.20 "," 15,649.50 "," 15,649.50 "," 15,649.50 "," 235,581,100.00 "
4/27/2017," 15,643.60 "," 15,643.60 "," 15,427.30 "," 15,506.50 "," 15,506.50 "," 277,398,200.00 "
4/28/2017," 15,542.20 "," 15,630.00 "," 15,503.60 "," 15,586.10 "," 15,586.10 "," 216,799,900.00 "
5/1/2017," 15,601.70 "," 15,605.90 "," 15,561.60 "," 15,575.60 "," 15,575.60 "," 202,493,500.00 "
5/2/2017," 15,590.30 "," 15,656.00 "," 15,565.70 "," 15,619.70 "," 15,619.70 "," 254,795,900.00 "
5/3/2017," 15,591.20 "," 15,639.70 "," 15,537.50 "," 15,543.10 "," 15,543.10 "," 240,566,200.00 "
5/4/2017," 15,510.00 "," 15,523.90 "," 15,367.40 "," 15,396.70 "," 15,396.70 "," 275,477,100.00 "
5/5/2017," 15,441.60 "," 15,594.50 "," 15,423.30 "," 15,582.00 "," 15,582.00 "," 213,120,600.00 "
5/8/2017," 15,624.90 "," 15,661.30 "," 15,592.50 "," 15,652.10 "," 15,652.10 "," 199,934,100.00 "
5/9/2017," 15,644.10 "," 15,672.20 "," 15,516.70 "," 15,569.20 "," 15,569.20 "," 209,499,100.00 "
5/10/2017," 15,567.50 "," 15,643.10 "," 15,565.90 "," 15,633.20 "," 15,633.20 "," 245,801,500.00 "
5/11/2017," 15,616.80 "," 15,636.40 "," 15,526.00 "," 15,550.60 "," 15,550.60 "," 255,468,800.00 "
5/12/2017," 15,550.80 "," 15,603.00 "," 15,505.10 "," 15,537.90 "," 15,537.90 "," 200,337,600.00 "
5/15/2017," 15,625.70 "," 15,674.60 "," 15,613.80 "," 15,629.50 "," 15,629.50 "," 207,388,000.00 "
5/16/2017," 15,650.00 "," 15,700.60 "," 15,542.60 "," 15,543.30 "," 15,543.30 "," 211,461,200.00 "
5/17/2017," 15,501.60 "," 15,501.60 "," 15,273.70 "," 15,273.70 "," 15,273.70 "," 23,474,800.00 "
5/18/2017," 15,229.30 "," 15,336.60 "," 15,164.70 "," 15,277.20 "," 15,277.20 "," 234,164,500.00 "
5/19/2017," 15,347.00 "," 15,469.90 "," 15,334.90 "," 15,458.50 "," 15,458.50 "," 209,881,600.00 "
5/23/2017," 15,521.10 "," 15,538.80 "," 15,465.90 "," 15,476.90 "," 15,476.90 "," 225,545,100.00 "
5/24/2017," 15,470.50 "," 15,470.50 "," 15,326.90 "," 15,419.50 "," 15,419.50 "," 204,849,000.00 "
5/25/2017," 15,463.60 "," 15,504.00 "," 15,340.30 "," 15,410.70 "," 15,410.70 "," 191,402,900.00 "
5/26/2017," 15,429.00 "," 15,429.40 "," 15,368.30 "," 15,416.90 "," 15,416.90 "," 151,789,900.00 "
5/29/2017," 15,420.30 "," 15,460.50 "," 15,405.30 "," 15,421.90 "," 15,421.90 "," 58,843,500.00 "
5/30/2017," 15,396.20 "," 15,429.00 "," 15,360.90 "," 15,372.40 "," 15,372.40 "," 161,106,700.00 "
5/31/2017," 15,374.40 "," 15,382.10 "," 15,254.10 "," 15,349.90 "," 15,349.90 "," 374,619,900.00 "
6/1/2017," 15,363.10 "," 15,493.90 "," 15,337.50 "," 15,469.90 "," 15,469.90 "," 224,803,200.00 "
6/2/2017," 15,466.10 "," 15,466.10 "," 15,419.40 "," 15,442.80 "," 15,442.80 "," 179,056,300.00 "
6/5/2017," 15,420.60 "," 15,447.70 "," 15,344.90 "," 15,409.80 "," 15,409.80 "," 143,408,600.00 "
6/6/2017," 15,378.20 "," 15,471.10 "," 15,368.30 "," 15,464.60 "," 15,464.60 "," 213,763,200.00 "
6/7/2017," 15,445.70 "," 15,495.80 "," 15,356.80 "," 15,372.10 "," 15,372.10 "," 217,926,200.00 "
6/8/2017," 15,354.90 "," 15,423.70 "," 15,342.80 "," 15,423.10 "," 15,423.10 "," 196,666,200.00 "
6/9/2017," 15,415.20 "," 15,505.20 "," 15,401.10 "," 15,473.20 "," 15,473.20 "," 234,931,800.00 "
6/12/2017," 15,476.30 "," 15,594.20 "," 15,354.30 "," 15,383.80 "," 15,383.80 "," 213,191,100.00 "
6/13/2017," 15,380.20 "," 15,380.90 "," 15,296.10 "," 15,379.80 "," 15,379.80 "," 222,944,700.00 "
6/14/2017," 15,381.60 "," 15,381.60 "," 15,166.30 "," 15,170.10 "," 15,170.10 "," 273,769,200.00 "
6/15/2017," 15,111.80 "," 15,176.40 "," 15,078.00 "," 15,160.40 "," 15,160.40 "," 221,256,000.00 "
6/16/2017," 15,148.50 "," 15,214.20 "," 15,092.30 "," 15,192.50 "," 15,192.50 "," 858,888,100.00 "
6/19/2017," 15,242.90 "," 15,325.90 "," 15,234.70 "," 15,266.00 "," 15,266.00 "," 187,796,400.00 "
6/20/2017," 15,228.60 "," 15,228.90 "," 15,136.70 "," 15,149.60 "," 15,149.60 "," 187,916,100.00 "
6/21/2017," 15,163.10 "," 15,246.00 "," 15,125.10 "," 15,148.50 "," 15,148.50 "," 199,182,100.00 "
6/22/2017," 15,157.10 "," 15,266.70 "," 15,153.00 "," 15,219.90 "," 15,219.90 "," 208,581,200.00 "
6/23/2017," 15,240.70 "," 15,344.60 "," 15,221.80 "," 15,319.60 "," 15,319.60 "," 175,042,300.00 "
6/26/2017," 15,331.00 "," 15,378.70 "," 15,264.70 "," 15,316.00 "," 15,316.00 "," 149,923,100.00 "
6/27/2017," 15,328.20 "," 15,354.40 "," 15,274.40 "," 15,281.20 "," 15,281.20 "," 193,094,700.00 "
6/28/2017," 15,306.80 "," 15,368.90 "," 15,264.60 "," 15,355.60 "," 15,355.60 "," 170,469,800.00 "
6/29/2017," 15,359.00 "," 15,359.00 "," 15,148.30 "," 15,213.40 "," 15,213.40 "," 188,734,400.00 "
6/30/2017," 15,233.80 "," 15,239.60 "," 15,114.60 "," 15,182.20 "," 15,182.20 "," 183,600,900.00 "
7/4/2017," 15,217.40 "," 15,242.60 "," 15,095.80 "," 15,130.60 "," 15,130.60 "," 65,948,600.00 "
7/5/2017," 15,125.00 "," 15,176.80 "," 15,033.80 "," 15,153.10 "," 15,153.10 "," 172,451,300.00 "
7/6/2017," 15,086.90 "," 15,138.50 "," 15,053.10 "," 15,078.00 "," 15,078.00 "," 188,841,800.00 "
7/7/2017," 15,037.20 "," 15,037.20 "," 14,915.80 "," 15,027.20 "," 15,027.20 "," 162,697,700.00 "
7/10/2017," 15,013.80 "," 15,138.20 "," 14,987.80 "," 15,105.30 "," 15,105.30 "," 149,962,300.00 "
7/11/2017," 15,100.60 "," 15,149.10 "," 15,033.70 "," 15,149.10 "," 15,149.10 "," 160,577,000.00 "
7/12/2017," 15,215.80 "," 15,297.00 "," 15,138.00 "," 15,144.00 "," 15,144.00 "," 177,893,800.00 "
7/13/2017," 15,147.40 "," 15,159.70 "," 15,113.10 "," 15,135.00 "," 15,135.00 "," 155,218,700.00 "
7/14/2017," 15,158.40 "," 15,208.40 "," 15,130.10 "," 15,174.80 "," 15,174.80 "," 132,014,200.00 "
7/17/2017," 15,186.30 "," 15,209.30 "," 15,155.40 "," 15,165.40 "," 15,165.40 "," 132,561,400.00 "
7/18/2017," 15,159.60 "," 15,159.60 "," 15,086.30 "," 15,149.60 "," 15,149.60 "," 140,094,100.00 "
7/19/2017," 15,162.40 "," 15,257.90 "," 15,161.40 "," 15,244.70 "," 15,244.70 "," 144,505,500.00 "
7/20/2017," 15,281.00 "," 15,319.20 "," 15,224.80 "," 15,264.60 "," 15,264.60 "," 141,898,800.00 "
7/21/2017," 15,234.70 "," 15,237.50 "," 15,134.70 "," 15,183.10 "," 15,183.10 "," 160,563,700.00 "
7/24/2017," 15,170.50 "," 15,170.50 "," 15,082.90 "," 15,128.70 "," 15,128.70 "," 114,964,000.00 "
7/25/2017," 15,199.30 "," 15,276.00 "," 15,178.70 "," 15,202.40 "," 15,202.40 "," 166,052,000.00 "
7/26/2017," 15,228.40 "," 15,247.30 "," 15,166.90 "," 15,171.40 "," 15,171.40 "," 181,482,200.00 "
7/27/2017," 15,218.60 "," 15,232.80 "," 15,070.80 "," 15,191.40 "," 15,191.40 "," 194,483,800.00 "
7/28/2017," 15,111.50 "," 15,153.50 "," 15,089.40 "," 15,128.70 "," 15,128.70 "," 155,324,100.00 "
7/31/2017," 15,150.00 "," 15,207.70 "," 15,140.00 "," 15,143.90 "," 15,143.90 "," 159,564,700.00 "
8/1/2017," 15,192.10 "," 15,229.00 "," 15,052.40 "," 15,202.10 "," 15,202.10 "," 166,680,200.00 "
8/2/2017," 15,203.90 "," 15,272.30 "," 15,195.50 "," 15,265.60 "," 15,265.60 "," 175,729,500.00 "
8/3/2017," 15,297.20 "," 15,324.60 "," 15,176.60 "," 15,192.00 "," 15,192.00 "," 171,140,900.00 "
8/4/2017," 15,247.40 "," 15,261.50 "," 15,198.50 "," 15,258.00 "," 15,258.00 "," 154,934,900.00 "
8/8/2017," 15,267.40 "," 15,287.00 "," 15,212.60 "," 15,256.40 "," 15,256.40 "," 174,770,100.00 "
8/9/2017," 15,247.90 "," 15,287.90 "," 15,191.70 "," 15,217.30 "," 15,217.30 "," 175,106,700.00 "
8/10/2017," 15,198.00 "," 15,209.60 "," 15,056.80 "," 15,074.30 "," 15,074.30 "," 195,717,700.00 "
8/11/2017," 15,038.50 "," 15,068.70 "," 14,995.30 "," 15,033.40 "," 15,033.40 "," 164,547,500.00 "
8/14/2017," 15,087.10 "," 15,196.10 "," 15,080.20 "," 15,119.90 "," 15,119.90 "," 148,058,200.00 "
8/15/2017," 15,129.80 "," 15,133.30 "," 15,070.30 "," 15,097.80 "," 15,097.80 "," 139,781,900.00 "
8/16/2017," 15,124.80 "," 15,173.40 "," 15,077.70 "," 15,082.20 "," 15,082.20 "," 168,476,300.00 "
8/17/2017," 15,068.30 "," 15,111.30 "," 15,031.40 "," 15,033.60 "," 15,033.60 "," 134,595,600.00 "
8/18/2017," 15,010.00 "," 15,010.00 "," 14,923.20 "," 14,952.30 "," 14,952.30 "," 150,614,800.00 "
8/21/2017," 14,946.80 "," 14,967.50 "," 14,918.60 "," 14,951.90 "," 14,951.90 "," 119,609,300.00 "
8/22/2017," 14,967.70 "," 15,002.40 "," 14,960.40 "," 14,985.00 "," 14,985.00 "," 108,993,300.00 "
8/23/2017," 14,940.40 "," 15,096.10 "," 14,940.40 "," 15,063.20 "," 15,063.20 "," 129,635,800.00 "
8/24/2017," 15,095.90 "," 15,108.20 "," 15,045.60 "," 15,076.20 "," 15,076.20 "," 121,823,000.00 "
8/25/2017," 15,104.20 "," 15,107.70 "," 15,056.00 "," 15,056.00 "," 15,056.00 "," 121,605,000.00 "
8/28/2017," 15,067.40 "," 15,067.40 "," 14,989.60 "," 15,052.00 "," 15,052.00 "," 126,788,200.00 "
8/29/2017," 14,983.80 "," 15,084.00 "," 14,934.00 "," 15,082.70 "," 15,082.70 "," 170,355,000.00 "
8/30/2017," 15,092.20 "," 15,174.10 "," 15,070.70 "," 15,133.10 "," 15,133.10 "," 155,345,300.00 "
8/31/2017," 15,155.20 "," 15,228.10 "," 15,147.80 "," 15,211.90 "," 15,211.90 "," 195,360,400.00 "
9/1/2017," 15,194.70 "," 15,217.60 "," 15,148.30 "," 15,191.60 "," 15,191.60 "," 129,936,400.00 "
9/5/2017," 15,186.10 "," 15,186.10 "," 15,014.10 "," 15,090.20 "," 15,090.20 "," 177,248,000.00 "
9/6/2017," 15,107.60 "," 15,179.00 "," 15,052.00 "," 15,059.80 "," 15,059.80 "," 174,651,400.00 "
9/7/2017," 15,062.50 "," 15,072.90 "," 15,018.10 "," 15,024.50 "," 15,024.50 "," 153,852,900.00 "
9/8/2017," 15,007.70 "," 15,009.20 "," 14,953.90 "," 14,985.30 "," 14,985.30 "," 144,437,300.00 "
9/11/2017," 15,023.00 "," 15,067.80 "," 15,015.60 "," 15,040.30 "," 15,040.30 "," 163,375,200.00 "
9/12/2017," 15,063.30 "," 15,154.20 "," 15,039.00 "," 15,143.40 "," 15,143.40 "," 163,186,900.00 "
9/13/2017," 15,148.00 "," 15,163.30 "," 15,123.00 "," 15,126.80 "," 15,126.80 "," 176,837,000.00 "
9/14/2017," 15,129.50 "," 15,183.80 "," 15,119.10 "," 15,172.70 "," 15,172.70 "," 186,187,100.00 "
9/15/2017," 15,180.10 "," 15,181.60 "," 15,136.60 "," 15,173.00 "," 15,173.00 "," 548,079,500.00 "
9/18/2017," 15,175.80 "," 15,249.60 "," 15,173.60 "," 15,236.70 "," 15,236.70 "," 165,350,500.00 "
9/19/2017," 15,269.60 "," 15,315.30 "," 15,258.00 "," 15,293.00 "," 15,293.00 "," 170,903,600.00 "
9/20/2017," 15,313.00 "," 15,392.20 "," 15,313.00 "," 15,389.60 "," 15,389.60 "," 219,715,100.00 "
9/21/2017," 15,379.10 "," 15,479.20 "," 15,373.30 "," 15,454.90 "," 15,454.90 "," 185,348,500.00 "
9/22/2017," 15,459.80 "," 15,468.30 "," 15,413.80 "," 15,454.20 "," 15,454.20 "," 168,293,800.00 "
9/25/2017," 15,453.60 "," 15,519.70 "," 15,437.80 "," 15,516.20 "," 15,516.20 "," 199,184,000.00 "
9/26/2017," 15,499.60 "," 15,501.40 "," 15,459.40 "," 15,474.10 "," 15,474.10 "," 167,217,300.00 "
9/27/2017," 15,499.80 "," 15,609.70 "," 15,492.00 "," 15,609.70 "," 15,609.70 "," 203,120,800.00 "
9/28/2017," 15,591.30 "," 15,639.90 "," 15,587.60 "," 15,618.30 "," 15,618.30 "," 186,250,100.00 "
9/29/2017," 15,647.60 "," 15,692.00 "," 15,632.90 "," 15,634.90 "," 15,634.90 "," 186,884,600.00 "
10/2/2017," 15,640.00 "," 15,705.40 "," 15,619.20 "," 15,705.00 "," 15,705.00 "," 156,580,500.00 "
10/3/2017," 15,712.30 "," 15,748.30 "," 15,712.30 "," 15,728.50 "," 15,728.50 "," 173,093,100.00 "
10/4/2017," 15,732.80 "," 15,752.10 "," 15,702.00 "," 15,721.00 "," 15,721.00 "," 177,404,500.00 "
10/5/2017," 15,738.30 "," 15,787.30 "," 15,737.60 "," 15,776.30 "," 15,776.30 "," 163,039,600.00 "
10/6/2017," 15,732.40 "," 15,732.40 "," 15,680.40 "," 15,728.30 "," 15,728.30 "," 138,492,000.00 "
10/10/2017," 15,763.60 "," 15,788.50 "," 15,745.50 "," 15,770.40 "," 15,770.40 "," 156,218,300.00 "
10/11/2017," 15,788.60 "," 15,816.80 "," 15,784.40 "," 15,800.40 "," 15,800.40 "," 164,401,700.00 "
10/12/2017," 15,785.10 "," 15,793.70 "," 15,742.20 "," 15,742.20 "," 15,742.20 "," 153,991,800.00 "
10/13/2017," 15,790.50 "," 15,828.90 "," 15,790.50 "," 15,807.20 "," 15,807.20 "," 138,471,400.00 "
10/16/2017," 15,844.00 "," 15,866.80 "," 15,797.80 "," 15,802.70 "," 15,802.70 "," 146,651,400.00 "
10/17/2017," 15,810.00 "," 15,850.20 "," 15,802.50 "," 15,816.90 "," 15,816.90 "," 196,278,100.00 "
10/18/2017," 15,847.20 "," 15,859.30 "," 15,782.20 "," 15,782.20 "," 15,782.20 "," 154,459,600.00 "
10/19/2017," 15,755.60 "," 15,824.10 "," 15,754.10 "," 15,818.00 "," 15,818.00 "," 149,310,500.00 "
10/20/2017," 15,877.70 "," 15,880.70 "," 15,852.60 "," 15,857.20 "," 15,857.20 "," 155,954,500.00 "
10/23/2017," 15,881.60 "," 15,900.60 "," 15,851.50 "," 15,855.80 "," 15,855.80 "," 142,570,700.00 "
10/24/2017," 15,887.80 "," 15,922.20 "," 15,886.60 "," 15,905.10 "," 15,905.10 "," 156,385,600.00 "
10/25/2017," 15,883.00 "," 15,894.50 "," 15,816.50 "," 15,854.80 "," 15,854.80 "," 177,185,000.00 "
10/26/2017," 15,881.90 "," 15,913.90 "," 15,864.60 "," 15,891.60 "," 15,891.60 "," 190,173,500.00 "
10/27/2017," 15,902.90 "," 15,963.60 "," 15,872.90 "," 15,953.50 "," 15,953.50 "," 209,593,900.00 "
10/30/2017," 15,942.90 "," 16,033.10 "," 15,942.90 "," 16,002.80 "," 16,002.80 "," 188,586,400.00 "
10/31/2017," 16,017.80 "," 16,064.70 "," 16,003.30 "," 16,025.60 "," 16,025.60 "," 193,921,000.00 "
11/1/2017," 16,093.40 "," 16,105.90 "," 16,019.40 "," 16,029.30 "," 16,029.30 "," 224,524,200.00 "
11/2/2017," 16,026.30 "," 16,045.20 "," 15,994.00 "," 16,015.00 "," 16,015.00 "," 210,150,200.00 "
11/3/2017," 16,006.60 "," 16,024.30 "," 15,968.90 "," 16,020.20 "," 16,020.20 "," 178,755,200.00 "
11/6/2017," 16,049.40 "," 16,103.80 "," 16,033.60 "," 16,092.20 "," 16,092.20 "," 196,882,200.00 "
11/7/2017," 16,097.10 "," 16,131.80 "," 16,075.60 "," 16,131.80 "," 16,131.80 "," 187,894,000.00 "
11/8/2017," 16,100.20 "," 16,118.50 "," 16,071.30 "," 16,105.40 "," 16,105.40 "," 202,581,100.00 "
11/9/2017," 16,038.80 "," 16,096.20 "," 16,030.80 "," 16,082.10 "," 16,082.10 "," 194,341,000.00 "
11/10/2017," 16,073.60 "," 16,085.90 "," 16,006.30 "," 16,039.30 "," 16,039.30 "," 171,526,200.00 "
11/13/2017," 15,999.10 "," 16,065.90 "," 15,999.10 "," 16,026.30 "," 16,026.30 "," 138,974,400.00 "
11/14/2017," 15,961.40 "," 15,970.70 "," 15,902.50 "," 15,913.10 "," 15,913.10 "," 166,018,900.00 "
11/15/2017," 15,876.20 "," 15,915.90 "," 15,829.40 "," 15,878.50 "," 15,878.50 "," 177,046,800.00 "
11/16/2017," 15,903.60 "," 15,954.80 "," 15,894.80 "," 15,935.40 "," 15,935.40 "," 160,419,600.00 "
